GemSchlNr,WpNr,Gemeinde_Gemeindeteile,Landkreis,Verbandsgemeinde,PLZ
13210048,,Helmeroth,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57612
13210048,0101,Eng,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210048,0102,Flögert,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210048,0103,Helmerotherhöhe,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210048,0104,Helmerothermühle,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210049,,Hemmelzen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57612
13210051,,Heupelzen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57612
13210051,0101,Beul,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210052,,Hilgenroth,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57612
13210053,,Hirz-Maulsbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57635
13210053,0101,Hähnen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210053,0102,Harthmühle,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210053,0103,Hirzbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210053,0104,Maulsbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210053,0105,Niedermaulsbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210055,,Horhausen (Westerwald),Altenkirchen(Ww),Altenkirchen-Flammersfeld,56593
13210055,0101,Horhausermühle,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210055,0102,Huf,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210055,0103,Luchert,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210056,,Idelberg,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57612
13210057,,Ingelbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57610
13210057,0101,Bahnhof Ingelbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57612
13210058,,Isert,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57612
13210058,0101,Kohlhardt,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210058,0102,Sonnenplatz,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210060,,Kescheid,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57632
13210060,0101,Hardt,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210060,0102,Püscheid,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210061,,Kettenhausen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57612
13210061,0101,Hoffnungsthal,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210062,,Kircheib,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57635
13210062,0101,Bleckhausen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210062,0102,Eckenbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210062,0103,Grünewald,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210062,0104,Neuenhof,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210062,0105,Reisbitzen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210062,0106,Tente,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210064,,Kraam,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57635
13210064,0101,Heuberg,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210065,,Krunkel,Altenkirchen(Ww),Altenkirchen-Flammersfeld,56593
13210065,0101,Epgert,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210065,0102,"Epgert, Haus",Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210067,,Mammelzen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57636
13210067,0101,Hüttenhofen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210067,0102,Reuffelbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210069,,Mehren,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57635
13210069,0101,Adorf,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210069,0102,Seifen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210070,,Michelbach (Westerwald),Altenkirchen(Ww),Altenkirchen-Flammersfeld,57610
13210070,0101,Heidehof,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210070,0102,Widderstein,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210078,,Niedersteinebach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,56593
13210081,,Obererbach (Westerwald),Altenkirchen(Ww),Altenkirchen-Flammersfeld,57612
13210081,0101,Hacksen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210081,0102,Koberstein,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210081,0103,Niedererbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210082,,Oberirsen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57635
13210082,0100,Marenbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210082,0200,Oberirsen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210082,0300,Rimbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210083,,Oberlahr,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57641
13210083,0101,Am Lahrbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210083,0102,Lammerichskaul,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210083,0103,Talblick,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210085,,Obersteinebach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,56593
13210085,0101,"Auf den Hähnen, Jagdhaus",Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210085,0102,Auf der Burg,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210085,0103,Heiderhof,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210085,0104,Landgut Marhähnerhof,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210086,,Oberwambach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57614
13210087,,Ölsen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57612
13210087,0101,Friedenthal,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210088,,Orfgen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57632
13210088,0101,Berg,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210088,0102,Hahn,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210089,,Peterslahr,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57632
13210090,,Pleckhausen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,56593
13210090,0101,Pleckhausermühle,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210092,,Racksen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57612
13210092,0102,Nassen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210093,,Reiferscheid,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57632
13210093,0101,Krämgen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210094,,Rettersen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57635
13210094,0101,Hahn,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210094,0102,Roßberg,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210094,0103,Witthecke,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210097,,Rott,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57632
13210097,0101,Alte Silberwiese,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210097,0102,Belkertshof,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210097,0104,Hof Fernblick,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210097,0105,Kaffroth,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210097,0106,"Peterslahr, Bhf.",Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210099,,Schöneberg,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57638
13210100,,Schürdt,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57632
13210103,,Seelbach (Westerwald),Altenkirchen(Ww),Altenkirchen-Flammersfeld,57632
13210103,0101,Bettgenhausen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210104,,Seifen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57632
13210104,0101,Bahnhof Seifen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210104,0102,Niederähren,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210106,,Sörth,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57636
13210109,,Stürzelbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57614
13210109,0101,Breibacherhof,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210109,0102,Mahlert,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210109,0103,Trinnhausen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210110,,Volkerzen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57612
13210112,,Walterschen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57632
13210114,,Werkhausen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57635
13210114,0101,Acker,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210114,0102,Leingen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210114,0103,Ochsenbruch,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210114,0104,Überdorf,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210115,,Weyerbusch,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57635
13210115,0100,Hilkhausen (Ortsbezirk),Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210115,0101,Irlen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210115,0102,Wiesplacken,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210115,0200,Weyerbusch,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210116,,Willroth,Altenkirchen(Ww),Altenkirchen-Flammersfeld,56594
13210118,,Wölmersen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57635
13210119,,Ziegenhain,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57632
13210119,0101,Ziegenhahn,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210201,,Berod bei Hachenburg,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57614
13210201,0101,Freudenberg,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210501,,"Altenkirchen (Westerwald), Stadt",Altenkirchen(Ww),Altenkirchen-Flammersfeld,57610
13210501,0100,Altenkirchen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210501,0101,Bergenhausen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210501,0102,Hof Vogelsang,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210501,0103,Jägerhaus,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210501,0104,Leuzbach,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210501,0105,Westerwaldheim,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210501,0200,Dieperzen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210501,0201,Landgut Honneroth,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210502,,Neitersen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,57638
13210502,0100,Neitersen,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210502,0101,Sonnenhof,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13210502,0200,Obernau,Altenkirchen(Ww),Altenkirchen-Flammersfeld,
13300006,,"Bad Kreuznach, große kreisangehörige Stadt",Bad Kreuznach,,55543
13300006,0100,Bad Kreuznach,Bad Kreuznach,,
13300006,0101,Darmstädter Hof,Bad Kreuznach,,
13300006,0102,Forsthaus Spreitel,Bad Kreuznach,,
13300006,0103,Gutleuthof,Bad Kreuznach,,
13300006,0104,Hargesheimer Landstraße,Bad Kreuznach,,
13300006,0105,Hühnerkopf,Bad Kreuznach,,
13300006,0107,Lohrerhof,Bad Kreuznach,,
13300006,0109,Neuhof,Bad Kreuznach,,
13300006,0110,"Rheingrafenstein, Hof",Bad Kreuznach,,
13300006,0111,"Rheingrafenstein, Schloß",Bad Kreuznach,,
13300006,0112,Rotlaymühle,Bad Kreuznach,,
13300006,0113,Sandhübel,Bad Kreuznach,,
13300006,0114,Schützenhaus,Bad Kreuznach,,
13300006,0200,Bosenheim (Ortsbezirk),Bad Kreuznach,,
13300006,0300,Ippesheim (Ortsbezirk),Bad Kreuznach,,
13300006,0301,Schlarppmühle,Bad Kreuznach,,
13300006,0400,Planig (Ortsbezirk),Bad Kreuznach,,
13300006,0500,Winzenheim (Ortsbezirk),Bad Kreuznach,,
13300006,0600,Bad Münster am Stein-Ebernburg (Ortsbezirk),Bad Kreuznach,,
13300006,0601,Bad Münster am Stein,Bad Kreuznach,,
13300006,0602,Huttental,Bad Kreuznach,,
13300006,0651,Ebernburg,Bad Kreuznach,,
13300006,0652,Birkerhof,Bad Kreuznach,,
13300006,0653,Bruchwiese,Bad Kreuznach,,
13300006,0654,Burg Ebernburg,Bad Kreuznach,,
13300006,0655,Ebernburger Mühle,Bad Kreuznach,,
13300006,0656,Heilquelle,Bad Kreuznach,,
13300006,0657,Hof im Tiergarten,Bad Kreuznach,,
13300006,0658,Auf der Spreit,Bad Kreuznach,,
13300006,0659,Trombacherhof,Bad Kreuznach,,
13301003,,Altenbamberg,Bad Kreuznach,Bad Kreuznach,55585
13301003,0101,Altenbaumburg,Bad Kreuznach,Bad Kreuznach,
13301003,0102,Bangerterhof,Bad Kreuznach,Bad Kreuznach,
13301003,0103,Brücklocherhof,Bad Kreuznach,Bad Kreuznach,
13301003,0105,Steigerhof,Bad Kreuznach,Bad Kreuznach,
13301003,0106,Sonnenhof,Bad Kreuznach,Bad Kreuznach,
13301012,,Biebelsheim,Bad Kreuznach,Bad Kreuznach,55546
13301030,,Feilbingert,Bad Kreuznach,Bad Kreuznach,67824
13301030,0101,Bingert,Bad Kreuznach,Bad Kreuznach,
13301030,0102,Feil,Bad Kreuznach,Bad Kreuznach,
13301030,0103,Lemberghaus,Bad Kreuznach,Bad Kreuznach,
13301030,0104,Lemberghütte,Bad Kreuznach,Bad Kreuznach,
13301030,0105,Lüßerttal,Bad Kreuznach,Bad Kreuznach,
13301030,0106,Waldhof,Bad Kreuznach,Bad Kreuznach,
13301031,,Frei-Laubersheim,Bad Kreuznach,Bad Kreuznach,55546
13301031,0101,Am Bahnhof Laubersheim,Bad Kreuznach,Bad Kreuznach,
13301031,0102,Hof bei der Römerstraße,Bad Kreuznach,Bad Kreuznach,
13301031,0103,Johanneshof,Bad Kreuznach,Bad Kreuznach,
13301031,0104,Lindenhof,Bad Kreuznach,Bad Kreuznach,
13301031,0105,Rheingrafenhof,Bad Kreuznach,Bad Kreuznach,
13301032,,Fürfeld,Bad Kreuznach,Bad Kreuznach,55546
13301032,0101,Biedenthalerhof,Bad Kreuznach,Bad Kreuznach,
13301032,0102,Hof Iben,Bad Kreuznach,Bad Kreuznach,
13301032,0103,Thalermühle,Bad Kreuznach,Bad Kreuznach,
13301032,0104,An der Goldkaut,Bad Kreuznach,Bad Kreuznach,
13301037,,Hackenheim,Bad Kreuznach,Bad Kreuznach,55546
13301037,0101,Antoniushof,Bad Kreuznach,Bad Kreuznach,
13301037,0102,Bonnheimer Hof,Bad Kreuznach,Bad Kreuznach,
13301037,0103,Darmstädter Hof,Bad Kreuznach,Bad Kreuznach,
13301037,0104,Im Rosengarten,Bad Kreuznach,Bad Kreuznach,
13301037,0105,Weingut Rosenhof,Bad Kreuznach,Bad Kreuznach,
13301037,0106,Weingut Böhlinger Hof,Bad Kreuznach,Bad Kreuznach,
13301037,0107,An den Reben,Bad Kreuznach,Bad Kreuznach,
13301039,,Hallgarten,Bad Kreuznach,Bad Kreuznach,67826
13301039,0101,Dreiweiherhof,Bad Kreuznach,Bad Kreuznach,
13301045,,Hochstätten,Bad Kreuznach,Bad Kreuznach,55585
13301045,0101,Im Steinbruch,Bad Kreuznach,Bad Kreuznach,
13301069,,Neu-Bamberg,Bad Kreuznach,Bad Kreuznach,55546
13301069,0101,An der Weidenmühle,Bad Kreuznach,Bad Kreuznach,
13301069,0102,Waltershecke,Bad Kreuznach,Bad Kreuznach,
13301069,0103,Weidenmühle,Bad Kreuznach,Bad Kreuznach,
13301078,,Pfaffen-Schwabenheim,Bad Kreuznach,Bad Kreuznach,55546
13301078,0101,Schleifmühle,Bad Kreuznach,Bad Kreuznach,
13301078,0102,Sonnenhof,Bad Kreuznach,Bad Kreuznach,
13301080,,Pleitersheim,Bad Kreuznach,Bad Kreuznach,55576
13301104,,Tiefenthal,Bad Kreuznach,Bad Kreuznach,55546
13301106,,Volxheim,Bad Kreuznach,Bad Kreuznach,55546
13301106,0101,Neuhof,Bad Kreuznach,Bad Kreuznach,
13301106,0102,Rittersborner Hof,Bad Kreuznach,Bad Kreuznach,
13306002,,Allenfeld,Bad Kreuznach,Rüdesheim,55595
13306004,,Argenschwang,Bad Kreuznach,Rüdesheim,55595
13306004,0101,Webersmühle,Bad Kreuznach,Rüdesheim,
13306004,0102,Wiesenhof,Bad Kreuznach,Rüdesheim,
13306013,,Bockenau,Bad Kreuznach,Rüdesheim,55595
13306013,0101,Daubacher Brücke,Bad Kreuznach,Rüdesheim,
13306013,0102,Lindenhof,Bad Kreuznach,Rüdesheim,
13306014,,Boos,Bad Kreuznach,Rüdesheim,55595
13306014,0101,Im Käsberg,Bad Kreuznach,Rüdesheim,
13306015,,Braunweiler,Bad Kreuznach,Rüdesheim,55595
13306015,0101,Haus Bock,Bad Kreuznach,Rüdesheim,
13306019,,Burgsponheim,Bad Kreuznach,Rüdesheim,55595
13306019,0101,Akvas Mühle,Bad Kreuznach,Rüdesheim,
13306021,,Dalberg,Bad Kreuznach,Rüdesheim,55595
13306027,,Duchroth,Bad Kreuznach,Rüdesheim,55585
13306027,0101,Dimrotherhof,Bad Kreuznach,Rüdesheim,
13306027,0102,Hof Schönblick,Bad Kreuznach,Rüdesheim,
13306027,0103,Montforterhof,Bad Kreuznach,Rüdesheim,
13306033,,Gebroth,Bad Kreuznach,Rüdesheim,55595
13306036,,Gutenberg,Bad Kreuznach,Rüdesheim,55595
13306036,0101,Nackmühle,Bad Kreuznach,Rüdesheim,
13306040,,Hargesheim,Bad Kreuznach,Rüdesheim,55595
13306040,0101,Baumdicker Mühle,Bad Kreuznach,Rüdesheim,
13306044,,Hergenfeld,Bad Kreuznach,Rüdesheim,55452
13306044,0101,Georgshof,Bad Kreuznach,Rüdesheim,
13306048,,Hüffelsheim,Bad Kreuznach,Rüdesheim,55595
13306048,0101,Antoniushof,Bad Kreuznach,Rüdesheim,
13306048,0102,Marienhof,Bad Kreuznach,Rüdesheim,
13306048,0103,Wiesenhof,Bad Kreuznach,Rüdesheim,
13306061,,Mandel,Bad Kreuznach,Rüdesheim,55595
13306068,,Münchwald,Bad Kreuznach,Rüdesheim,55595
13306068,0101,Haus Gräfenbach,Bad Kreuznach,Rüdesheim,
13306068,0103,Struthof,Bad Kreuznach,Rüdesheim,
13306070,,Niederhausen,Bad Kreuznach,Rüdesheim,55585
13306070,0101,Hermannshöhle,Bad Kreuznach,Rüdesheim,
13306070,0102,Ehemalige Weinbaudomäne,Bad Kreuznach,Rüdesheim,
13306071,,Norheim,Bad Kreuznach,Rüdesheim,55585
13306071,0101,Brunnenhof,Bad Kreuznach,Rüdesheim,
13306071,0102,Buchenländerhof,Bad Kreuznach,Rüdesheim,
13306071,0104,Wasserkraftwerk,Bad Kreuznach,Rüdesheim,
13306071,0105,Kronenhof,Bad Kreuznach,Rüdesheim,
13306071,0106,Haus am Tunnel,Bad Kreuznach,Rüdesheim,
13306074,,Oberhausen an der Nahe,Bad Kreuznach,Rüdesheim,55585
13306075,,Oberstreit,Bad Kreuznach,Rüdesheim,55596
13306086,,Roxheim,Bad Kreuznach,Rüdesheim,55595
13306086,0101,Rollars Mühle,Bad Kreuznach,Rüdesheim,
13306086,0102,Obere Mühle,Bad Kreuznach,Rüdesheim,
13306086,0103,Mühlwieshof,Bad Kreuznach,Rüdesheim,
13306088,,Sankt Katharinen,Bad Kreuznach,Rüdesheim,55595
13306089,,Schloßböckelheim,Bad Kreuznach,Rüdesheim,55596
13306089,0101,Hahnerhof,Bad Kreuznach,Rüdesheim,
13306089,0103,Kolonie,Bad Kreuznach,Rüdesheim,
13306089,0104,"Niederthälerhof, Weingut",Bad Kreuznach,Rüdesheim,
13306089,0105,Rotherhof,Bad Kreuznach,Rüdesheim,
13306089,0106,Schloßhof,Bad Kreuznach,Rüdesheim,
13306098,,Sommerloch,Bad Kreuznach,Rüdesheim,55595
13306098,0101,Haus Schünemann,Bad Kreuznach,Rüdesheim,
13306099,,Spabrücken,Bad Kreuznach,Rüdesheim,55595
13306099,0101,Aschbornerhof,Bad Kreuznach,Rüdesheim,
13306099,0102,Forsthaus Reichenbacherhof,Bad Kreuznach,Rüdesheim,
13306099,0103,Gräfenbacherhütte,Bad Kreuznach,Rüdesheim,
13306099,0104,Oberhub,Bad Kreuznach,Rüdesheim,
13306099,0105,Pfeffermühle,Bad Kreuznach,Rüdesheim,
13306099,0106,Rothmühle,Bad Kreuznach,Rüdesheim,
13306099,0107,Treinelshof,Bad Kreuznach,Rüdesheim,
13306099,0108,Unterhub,Bad Kreuznach,Rüdesheim,
13306100,,Spall,Bad Kreuznach,Rüdesheim,55595
13306100,0101,Eichhof,Bad Kreuznach,Rüdesheim,
13306100,0102,Forsthaus Gebroth,Bad Kreuznach,Rüdesheim,
13306101,,Sponheim,Bad Kreuznach,Rüdesheim,55595
13306101,0101,Ackermannsmühle,Bad Kreuznach,Rüdesheim,
13306101,0102,Annenhof,Bad Kreuznach,Rüdesheim,
13306101,0103,Brauchsmühle,Bad Kreuznach,Rüdesheim,
13306101,0104,Braunsmühle,Bad Kreuznach,Rüdesheim,
13306101,0105,Klostermühle,Bad Kreuznach,Rüdesheim,
13306105,,Traisen,Bad Kreuznach,Rüdesheim,55595
13306105,0101,Auf dem Rotenfels,Bad Kreuznach,Rüdesheim,
13306105,0102,Sonnenhof,Bad Kreuznach,Rüdesheim,
13306105,0103,Rotenfelser Hof,Bad Kreuznach,Rüdesheim,
13306107,,Waldböckelheim,Bad Kreuznach,Rüdesheim,55596
13306107,0101,Drahtwerke,Bad Kreuznach,Rüdesheim,
13306107,0102,Forsthaus,Bad Kreuznach,Rüdesheim,
13306107,0103,Goosemühle,Bad Kreuznach,Rüdesheim,
13306107,0104,Haus vor Leo's Ruh,Bad Kreuznach,Rüdesheim,
13306107,0105,Marienpforterhof,Bad Kreuznach,Rüdesheim,
13306107,0106,Sudetenlandhof,Bad Kreuznach,Rüdesheim,
13306107,0107,"Waldböckelheim, Bahnhof",Bad Kreuznach,Rüdesheim,
13306109,,Wallhausen,Bad Kreuznach,Rüdesheim,55595
13306109,0101,Wiesenmühle,Bad Kreuznach,Rüdesheim,
13306112,,Weinsheim,Bad Kreuznach,Rüdesheim,55595
13306112,0101,Ackvas Mühle,Bad Kreuznach,Rüdesheim,
13306112,0102,Kapuskirch,Bad Kreuznach,Rüdesheim,
13306112,0103,Scholländerhof,Bad Kreuznach,Rüdesheim,
13306115,,Winterbach,Bad Kreuznach,Rüdesheim,55595
13306115,0101,Forsthaus Winterbach,Bad Kreuznach,Rüdesheim,
13306115,0102,Kreershäuschen,Bad Kreuznach,Rüdesheim,
13306115,0103,Kuhpferch,Bad Kreuznach,Rüdesheim,
13306117,,Rüdesheim,Bad Kreuznach,Rüdesheim,55593
13306117,0102,Zum Hargesheimer Pfad,Bad Kreuznach,Rüdesheim,
13306117,0103,Rüdesheimer Hof,Bad Kreuznach,Rüdesheim,
13309008,,Bärenbach,Bad Kreuznach,Kirner Land,55758
13309010,,Becherbach bei Kirn,Bad Kreuznach,Kirner Land,55608
13309016,,Brauweiler,Bad Kreuznach,Kirner Land,55606
13309038,,Hahnenbach,Bad Kreuznach,Kirner Land,55606
13309041,,Heimweiler,Bad Kreuznach,Kirner Land,55606
13309041,0100,Heimberg,Bad Kreuznach,Kirner Land,
13309041,0200,Krebsweiler,Bad Kreuznach,Kirner Land,
13309041,0201,Forsthaus Krebsweiler,Bad Kreuznach,Kirner Land,
13309041,0202,Obere Horbachsmühle,Bad Kreuznach,Kirner Land,
13309041,0203,Untere Horbachsmühle,Bad Kreuznach,Kirner Land,
13309042,,Heinzenberg,Bad Kreuznach,Kirner Land,55606
13309042,0101,Greberhof,Bad Kreuznach,Kirner Land,
13309043,,Hennweiler,Bad Kreuznach,Kirner Land,55619
13309043,0101,Algendellerhof,Bad Kreuznach,Kirner Land,
13309043,0102,Landhaus Lang,Bad Kreuznach,Kirner Land,
13309043,0103,Schlößchen Wasem,Bad Kreuznach,Kirner Land,
13309043,0104,Eignerhof,Bad Kreuznach,Kirner Land,
13309046,,Hochstetten-Dhaun,Bad Kreuznach,Kirner Land,55606
13309046,0100,Hochstädten (Ortsbezirk) ,Bad Kreuznach,Kirner Land,
13309046,0200,Hochstetten,Bad Kreuznach,Kirner Land,
13309046,0201,Karlshof,Bad Kreuznach,Kirner Land,
13309046,0202,St.Johannisberg,Bad Kreuznach,Kirner Land,
13309046,0203,Waldeck,Bad Kreuznach,Kirner Land,
13309046,0204,Waldhof,Bad Kreuznach,Kirner Land,
13309046,0300,Schloß Dhaun (Ortsbezirk),Bad Kreuznach,Kirner Land,
13309046,0301,Heinzenberger-Gesellschaftsmühle,Bad Kreuznach,Kirner Land,
13309047,,Horbach,Bad Kreuznach,Kirner Land,55606
13309052,,"Kirn, Stadt",Bad Kreuznach,Kirner Land,55606
13309052,0100,Kallenfels (Ortsbezirk),Bad Kreuznach,Kirner Land,
13309052,0101,Kallenfelser Hof,Bad Kreuznach,Kirner Land,
13309052,0200,Kirn,Bad Kreuznach,Kirner Land,
13309052,0201,Akvas Papiermühle,Bad Kreuznach,Kirner Land,
13309052,0202,Cramersmühle,Bad Kreuznach,Kirner Land,
13309052,0203,Füllmannsmühle,Bad Kreuznach,Kirner Land,
13309052,0204,Kyrburg,Bad Kreuznach,Kirner Land,
13309052,0205,Ölmühle Spielmann,Bad Kreuznach,Kirner Land,
13309052,0300,Kirnsulzbach (Ortsbezirk),Bad Kreuznach,Kirner Land,
13309052,0301,Hasenfels,Bad Kreuznach,Kirner Land,
13309052,0302,Schleif-Mühle,Bad Kreuznach,Kirner Land,
13309059,,Limbach,Bad Kreuznach,Kirner Land,55606
13309059,0101,Welschrötherhof,Bad Kreuznach,Kirner Land,
13309063,,Meckenbach,Bad Kreuznach,Kirner Land,55606
13309073,,Oberhausen bei Kirn,Bad Kreuznach,Kirner Land,55606
13309073,0101,Itzebacherhof,Bad Kreuznach,Kirner Land,
13309073,0102,Königshof,Bad Kreuznach,Kirner Land,
13309073,0103,Schloß Wartenstein,Bad Kreuznach,Kirner Land,
13309077,,Otzweiler,Bad Kreuznach,Kirner Land,55606
13309096,,Simmertal,Bad Kreuznach,Kirner Land,55618
13309096,0101,"Bergmühle, Hotel",Bad Kreuznach,Kirner Land,
13309096,0102,Campingplatz,Bad Kreuznach,Kirner Land,
13309096,0103,Franzhof,Bad Kreuznach,Kirner Land,
13309096,0104,Simmerhammer,Bad Kreuznach,Kirner Land,
13309113,,Weitersborn,Bad Kreuznach,Kirner Land,55629
13309201,,Bruschied,Bad Kreuznach,Kirner Land,55606
13309201,0101,Rudolfshaus,Bad Kreuznach,Kirner Land,
